
雕刻时光,"[苏]安德烈·塔可夫斯基 [[苏]安德烈·塔可夫斯基],",,2016,chinese,EPUB, 1.47 MB
抖音+剪映+Premiere短视频制作从新手到高手,"王斐,",清华大学出版社,2021,chinese,EPUB, 40.07 MB
Sculpting in Time: Tarkovsky The Great Russian Filmaker Discusses His Art,"Andrey Tarkovsky, Kitty Hunter-Blair,",University of Texas Press,1987,english,PDF, 9.77 MB
剧本：影视写作的艺术、技巧和商业运作,"理查德·沃尔特,",天津人民出版社,2018,chinese,EPUB, 3.08 MB
"The Philosophy of Horror: Or, Paradoxes of the Heart","Noel Carroll,",Routledge,1990,english,PDF, 801 KB
What Is Cinema? Volume 2,"Andre Bazin,",University of California Press,2004,english,PDF, 26.87 MB
Professional Storyboarding: Rules of Thumb,"Sergio Paez, Anson Jew,",Taylor & Francis,2013,english,PDF, 9.71 MB
The Great Movies,"Roger Ebert,",Three Rivers Press,2003,english,EPUB, 1.84 MB
拉片子1: 电影电视编剧讲义,"杨健,",作家出版社,2017,chinese,PDF, 67.91 MB
Understanding Cinema: A Psychological Theory of Moving Imagery,"Per Persson,",Cambridge University Press,2003,english,PDF, 10.91 MB
1001 Movies,"Steven Scneider,",Cassell Illustrated,2011,english,EPUB, 17.80 MB
"The Screenwriter’s Bible, 6th Edition: A Complete Guide to Writing, Formatting, and Selling Your Script","David Trottier,",Silman-James Press,2014,english,EPUB, 1.77 MB
伟大的电影（全三册）（骨灰影迷，终南捷径全集 理想国出品）,"罗杰·伊伯特,",,2021,chinese,EPUB, 25.32 MB
"Catching the Big Fish : Meditation, consciousness, and creativity","David Lynch,",Penguin,2007,english,EPUB, 141 KB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
超棒喜剧这样写: 好莱坞喜剧教父编剧技艺大解密,"(美) 史蒂夫·卡普兰 著, 呂繼先 译,",鏡文學出版社,2019,chinese,EPUB, 5.85 MB
Film Studies: An Introduction,"Ed Sikov,",Columbia University Press,2009,english,EPUB, 6.93 MB
Cinema 2: The Time-Image,"Gilles Deleuze, Hugh Tomlinson, Robert Galeta,",Univ of Minnesota Pr,1989,english,PDF, 5.89 MB
Wes Anderson Collection: The Grand Budapest Hotel,"Matt Zoller Seitz,",Harry N. Abrams,2015,english,PDF, 117.99 MB
Encyclopedia of Film Noir,"Geoff Mayer, Brian McDonnell,","Greenwood Publishing Group, Incorporated",2007,english,PDF, 6.30 MB
Directing Actors: Creating Memorable Performances for Film & Television,"Judith Weston,",Michael Wiese Productions,1999,english,PDF, 3.95 MB
Save the Cat!® Strikes Back: More Trouble for Screenwriters to Get into ... and Out of,"Blake Snyder,",Save the Cat! Press,2009,english,PDF, 18.54 MB
The Art of Wreck-It Ralph,"Jennifer Lee, Maggie Malone, John Lasseter, Rich Moore,",Chronicle Books,2012,english,PDF, 150.10 MB
Incredible Cross-Sections of Star Wars: The Ultimate Guide to Star Wars Vehicles and Spacecraft,"Reynolds David.,",,,english,PDF, 13.35 MB
电影史：理论与实践 插图修订版,"(美) 艾伦 / (美) 戈梅里,",世界图书出版公司·后浪出版公司,2010,chinese,PDF, 34.74 MB
Film Noir: A Very Short Introduction,"James Naremor,",Oxford University Press,2019,english,EPUB, 1.16 MB
运动  影像,"吉尔·德勒兹著,",湖南美术出版社,2003,chinese,PDF, 43.17 MB
Studio Ghibli: The Films of Hayao Miyazaki and Isao Takahata,"Colin Odell, Michelle Le Blanc,",Kamera Books,2015,english,PDF, 1.58 MB
"Film Directing: Cinematic Motion, Second Edition","Steven D Katz,",Michael Wiese Productions,2004,english,PDF, 14.12 MB
1001 Movies You Must See Before You Die,"Steven Jay Schneider,",,,english,PDF, 14.62 MB
玫瑰挞,"栖见,",,,,TXT, 854 KB
世界电影史,"道格拉斯·戈梅里（美）, 克拉克·帕福-奥维尔顿（荷）,",中国电影出版社,2016,chinese,PDF, 108.60 MB
电影剧本写作基础,"[美]悉德·菲尔德 著,",epub掌上书苑,2011,chinese,MOBI , 998 KB
Film Art: An Introduction (12th Edition),"David Bordwell, Kristin Thompson, Jeff Smith,",McGraw-Hill Education,2019,english,PDF, 181.18 MB
On Directing film,"David Mamet,",Viking Adult,1991,english,PDF, 15.79 MB
"Rebel without a crew, or, How a 23-year-old filmmaker with $7,000 became a Hollywood player  ","Robert Rodriguez,",Penguin,1996,english,PDF, 18.05 MB
Color Correction Handbook: Professional Techniques for Video and Cinema (Digital Video & Audio Editing Courses) 2nd Edition,"Alexis Van Hurkman,",Peachpit Press,2014,english,PDF, 54.34 MB
"原初的激情 : 視覺, 性慾, 民族誌與中國當代電影 /Yuan chu de ji qing : shi jue . xing yu . min zu zhi yu zhong guo dang dai dian ying","周蕾,",遠流事业股份有限公司,2001,chinese,PDF, 77.13 MB
"Esoteric Hollywood: Sex, Cults and Symbols in Film","Jay Dyer,",Trine Day,2016,english,EPUB, 19.65 MB
Basics Animation 03: Drawing for Animation,"Paul Wells,",Ava Publishing,2008,english,PDF, 18.86 MB
The Art of Finding Dory,"John Lasseter, Andrew Stanton, Steve Pilcher,",Chronicle Books,2016,english,PDF, 285.42 MB
Cutting Rhythms: Shaping the Film Edit,"Karen Pearlman,",Focal Press,2009,english,PDF, 4.39 MB
They Drew as They Pleased: The Hidden Art of Disney’s Golden Age (The 1930s),"Didier Ghez, Peter Docter,",Chronicle Books,2015,english,PDF, 135.24 MB
拍电影: 现代影像制作教程,"[美]琳恩·格罗斯, [美]拉里·沃德,",世界图书出版公司·后浪出版公司,2007,chinese,PDF, 45.57 MB
Japanese Cinema Texts And Contexts,,Routledge,2008,english,PDF, 3.85 MB
The Way Hollywood Tells It: Story and Style in Modern Movies,"David Bordwell,",University of California Press,2006,english,PDF, 1.68 MB
"The Filmmaker’s Guide to Visual Effects: The Art and Techniques of VFX for Directors, Producers, Editors and Cinematographers","Eran Dinur,",Routledge,2017,english,PDF, 40.07 MB
中国电影史 北京电影学院教材,"钟大丰 舒晓鸣,",中国广播电视出版社,2001,chinese,PDF, 10.03 MB
The Art of The Matrix,"Lana Wachowski, Larry Wachowski, Andy Wachowski, Spencer Lamm, Geof Darrow,",Newmarket Pictorial Moviebooks,2000,english,PDF, 64.43 MB
Film History: An Introduction    ,"Kristin Thompson, David Bordwell,",McGraw-Hill Humanities/Social Sciences/Languages,2002,english,PDF, 46.84 MB
The Art of Disney - Encanto,"Disney,",Chronicle Books,2021,english,PDF, 86.80 MB
Character Animation Crash Course!,"Eric Goldberg,",Silman-James Press,2008,english,PDF, 56.72 MB
Into the woods : how stories work and why we tell them,"Yorke, John,",Penguin Books,2014,english,EPUB, 1.43 MB
Film Music: A Very Short Introduction (Very Short Introductions),"Kathryn Kalinak,","Oxford University Press, USA",2010,english,PDF, 1013 KB
They Drew as They Pleased: The Hidden Art of Disney’s Musical Years (The 1940s — Part One),"Didier Ghez, John Musker,",Chronicle Books,2016,english,EPUB, 58.04 MB
真实眼泪之可怖: 基耶斯洛夫斯基的电影,"[斯洛文尼亚] 斯拉沃热·齐泽克,",武汉大学出版社,2018,chinese,PDF, 33.69 MB
Understanding Cinematography,"Hall, Brian,",Crowood,2015,english,EPUB, 16.36 MB
They Drew as They Pleased Vol. 3: The Hidden Art of Disney’s Late Golden Age (The 1940s — Part Two),"Didier Ghez, Andreas Deja,",Chronicle Books,2017,english,EPUB, 37.85 MB
The art of Monsters University,"Lasseter, John, Paik, Karen, Scanlon, Dan,",Chronicle Books LLC,2015,english,EPUB, 19.04 MB
LIFE Film Noir: 75 Years of the Greatest Crime Films,"The Editors of LIFE,",LIFE BOOKS,2016,english,EPUB, 21.44 MB
Adobe Premiere Pro CC Classroom in a Book 2018,"Maxim Jago,",Adobe,2018,english,PDF, 60.55 MB
The Art of Movie Storyboards: Visualising the Action of the World’s Greatest Films,"Fionnuala Halligan,",ILEX,2013,english,AZW3 , 23.05 MB
"Star Wars Year by Year: A Visual History, New Edition","Kristin Baver, Pablo Hidalgo, Daniel Wallace, Ryder Windham,",DK,2021,english,PDF, 160.99 MB
Inception: The Shooting Script  ,"Christopher Nolan, Jonah Nolan,",Insight Editions,2010,english,EPUB, 2.85 MB
Introduction to a True History of Cinema and Television,"Jean-Luc Godard,",Caboose,2015,english,PDF, 27.47 MB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
Screenwriting: The Sequence Approach,"Paul Gulino,",Continuum,2004,english,PDF, 12.33 MB
外国电影批评文选,"杨远婴, 徐建生 主编,",世界图书出版公司·后浪出版公司,2014,chinese,PDF, 387.75 MB
Hayao Miyazaki: Exploring the Early Work of Japan’s Greatest Animator,"Raz Greenberg, Chris Pallant,",Bloomsbury Publishing PLC,2018,english,EPUB, 4.05 MB
The Visual Culture Reader  ,"Nicholas Mirzoeff,",Routledge,2002,english,PDF, 34.77 MB
LIFE Science Fiction: 100 Years of Great Movies,"The Editors of LIFE,",LIFE BOOKS,2016,english,EPUB, 17.87 MB
"Star Wars, Episode I: The Visual Dictionary","DK, David West Reynolds,","DK, Dorling Kindersley",1999,english,PDF, 12.67 MB
时间-影像,"德勒兹,",,,chinese,PDF, 10.43 MB
基层女性【热门女性话题vlogger“玲玲Peter和四只猫”首部作品，爱、金钱与精神世界的建立！】,"王慧玲,",中国友谊出版公司,2021,chinese,MOBI , 409 KB
فن الإغواء,"روبرت غرين,",,2001,arabic,PDF, 9.61 MB
The Philosophy of Horror,"Thomas Richard Fahy, Phillip J. Nickel, Phillip Tallon, Jeremy Morris, Jessica O'Hara, Amy Kind, Lorena Russell, John Lutz, Paul A. Cantor,",University Press of Kentucky,2010,english,PDF, 4.49 MB
Star Wars: The Force Awakens Visual Dictionary,"Hidalgo Pablo.,",,,english,PDF, 44.38 MB
救猫咪：电影编剧指南（畅销好莱坞15年的编剧实战秘籍，与《故事》《电影剧本写作基础》并称“编剧三宝”。专业译者全新翻译）,"布莱克·斯奈德,",浙江文艺出版社,2020,chinese,MOBI , 1.57 MB
The Philosophy of Science Fiction Film,"Steven M. Sanders,",University Press of Kentucky,2008,english,PDF, 1.16 MB
Accidentally Wes Anderson,"Wally Koval, WES ANDERSON, Domenica Alioto,","Little, Brown and Company",2020,english,EPUB, 63.66 MB
Every Frame a Rembrandt: Art and Practice of Cinematography,"Andrew Laszlo, Andrew Quicke,",Focal Press,2000,english,PDF, 5.38 MB
想象的能指：精神分析與電影,"克里斯蒂安·麥茨 (Christian Matz),",中國廣播電視出版社,2006,chinese,PDF, 15.88 MB
Acting in Film: An Actor's Take on Movie Making,"Caine, Michael,",Applause Acting,2008,english,EPUB, 4.91 MB
The Other Hollywood: The Uncensored Oral History of the Porn Film Industry,"Legs McNeil, Jennifer Osborne, Peter Pavia,",HarperCollins,2005,english,PDF, 5.22 MB
How to Write Great Screenplays And Get Them into Production,"Linda M. James,",How To Books,2009,english,PDF, 666 KB
世界电影史,"杰弗里·诺维尔-史密斯 (Geoffrey Novell-Smith), 杨击,",复旦大学出版社,2015,chinese,EPUB, 1.97 MB
The animator's workbook,"Tony White,",Watson-Guptill ,1986,english,PDF, 43.53 MB
Film: A Very Short Introduction,"Michael Wood,",Oxford University Press,2012,english,EPUB, 522 KB
The Wes Anderson Collection,"Matt Zoller Seitz,",Harry N. Abrams,2013,english,EPUB, 248.79 MB
Setting up your story cinematically : the 100 most powerful film conventions every filmmaker must know,"Van Sijll, Jennifer,",Michael Wiese,2005,english,MOBI , 4.14 MB
Hard to Swallow: Hard-Core Pornography on Screen,"Claire Hines, Darren Kerr,",Wallflower Press,2012,english,EPUB, 5.39 MB
Dark History of Hollywood,"Kieron Connolly,",Amber Books Ltd,2014,english,PDF, 15.58 MB
The Great Movies II,"Roger Ebert,",Three Rivers Press,2006,english,EPUB, 3.78 MB
In the Blink of an Eye Revised 2nd Edition,"Walter Murch,",Silman-James Pr,2001,english,EPUB, 144 KB
The Village Voice Film Guide: 50 Years of Movies from Classics to Cult Hits,"Dennis Lim,",Wiley,2006,english,PDF, 3.69 MB
"LIFE 2020, James Bond, All 25 Movies","Life Magazine,",Life Magazine,2020,english,PDF, 117.44 MB
Making Meaning: Inference and Rhetoric in the Interpretation of Cinema,"David Bordwell,",Harvard University Press,1991,english,PDF, 18.62 MB
電影冷知識：跨越銀幕之外，我們都想探索的電影製造祕密,"許立衡、張凱淯,",城邦出版集團 創意市集,2018,chinese,EPUB, 2.04 MB
Future Noir: The Making of Blade Runner,"Paul M. Sammon,",Dey Street Books,2017,english,EPUB, 12.24 MB
看电影的艺术,"约瑟夫·M. 博格斯, 丹尼斯·W. 皮特里,",北京大学出版社,2010,chinese,PDF, 113.76 MB
The Philosophy of Film Noir,"Mark T. Conard,",University Press of Kentucky,2006,english,PDF, 2.89 MB
Film Production Management,"Bastian Cleve,",Elsevier,2006,english,PDF, 2.50 MB
"Storyboards: Motion in Art, Third Edition","Simon, Mark A.,",Focal Press,2016,english,PDF, 41.09 MB
Filming the Fantastic: A Guide to Visual Effects Cinematography,"Mark Sawicki,",Focal Press,2007,english,PDF, 36.42 MB
The 101 Habits of Highly Successful Screenwriters: Insider Secrets from Hollywood's Top Writers [10th Anniversary Edition],"Karl Iglesias,",Adams Media,2011,english,PDF, 1.27 MB
"El Guión : Sustancia, estructura, estilo y principios de la escritura de guiones","Robert McKee,",ALBA Editorial,2011,spanish,EPUB, 1.18 MB
"Anime from Akira to Howl's Moving Castle, Updated Edition: Experiencing Contemporary Japanese Animation","Susan J. Napier,",Palgrave Macmillan,2005,english,PDF, 7.96 MB
Art in Cinema: Documents Toward a History of the Film Society,"Scott Macdonald,",Temple University Press,2006,english,PDF, 16.82 MB
Screenplay: Writing the Picture,"Robin U. Russin, William Missouri Downs,",Silman-James Press,2012,english,PDF, 9.43 MB
"Hollywood and the Mob: Movies, Mafia, Sex and Death","Tim Adler,",Bloomsbury Publishing PLC,2008,english,EPUB, 4.35 MB
The Star Trek Encyclopedia,"Michael Okuda, Denise Okuda, Debbie Mirek,",Pocket Books,1999,english,PDF, 105.87 MB
大师镜头-第2卷 拍出一流对话场景的100个高级技巧,"Christopher Kenworthy,",,,chinese,PDF, 17.12 MB
"Films and Dreams: Tarkovsky, Bergman, Sokurov, Kubrick, and Wong Kar-Wai","Thorsten Botz-Bornstein,",Lexington Books,2007,english,PDF, 9.86 MB
How to become a porn director : making amateur adult films,"Nick Ryder,",Thompson Pub ,2001,english,PDF, 515 KB
Andrei Tarkovsky: Interviews (Conversations With Filmmakers Series),"John Gianvito,",University Press of Mississippi,2006,english,PDF, 17.23 MB
Notes on Cinematography,"Robert. Bresson,",,1977,english,PDF, 1.58 MB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
The Film Encyclopedia: The Complete Guide to Film and the Film Industry,"Ephraim Katz, Ronald Dean Nolen,",HarperCollins;Collins Reference,2012,english,EPUB, 7.41 MB
The Oxford Handbook of Japanese Cinema,"Daisuke Miyao,",Oxford University Press,2014,english,PDF, 7.79 MB
"Space Odyssey: Stanley Kubrick, Arthur C. Clarke, and the Making of a Masterpiece","Michael Benson,",Simon & Schuster,2018,english,EPUB, 6.66 MB
"The Annotated Godfather: The Complete Screenplay with Commentary on Every Scene, Interviews, and Little-Known Facts","Jones Jenny M,",Black Dog & Leventhal,2009,english,EPUB, 10.80 MB
Film Noir and the Cinema of Paranoia,"Wheeler Winston Dixon,",Edinburgh University Press,2005,english,PDF, 1.31 MB
The Filmmaker's Eye: The Language of the Lens,"Gustavo Mercado,",Routledge,2019,english,PDF, 53.98 MB
A Companion to Literature and Film,"Robert Stam, Alessandra Raengo,",Wiley-Blackwell,2004,english,PDF, 2.46 MB
Film Form: Essays in Film Theory,"Sergei Eisenstein,",A Harvest Book,1977,english,PDF, 9.73 MB
新中国电影史（1949-2000）,"尹鸿/凌燕,",湖南美术出版社,2002,chinese,PDF, 20.73 MB
The Rough Guide to Film: An A-Z of Directors and Their Movies : The Essential Guide to a World of Cinema,"Richard Armstrong, Tom Charity, Lloyd Hughes, Jessica Winter,",Rough Guides,2007,english,PDF, 21.05 MB
The Routledge Encyclopedia of Film Theory,"Edward Branigan, Warren Buckland,",Routledge,2013,english,PDF, 3.22 MB
Let's Learn Some Storyboarding,"Nic Parris,",Nic Parris,2020,english,PDF, 17.07 MB
"The Anime Encyclopedia: A Guide to Japanese Animation Since 1917, Revised and Expanded Edition","Jonathan Clements, Helen McCarthy,",Stone Bridge Press,2006,english,PDF, 126.99 MB
The Art of Star Wars - The Mandalorian (Season One),"Abrams Books,",Abrams Books,2020,english,PDF, 28.56 MB
"Writing, Directing, and Producing Documentary Films and Digital Videos","Alan Rosenthal, Ned Eckhardt,",Southern Illinois University Press,2015,english,PDF, 6.64 MB
"Pre-Code Hollywood: Sex, Immorality, and Insurrection in American Cinema; 1930-1934","Thomas Doherty,",Columbia University Press,1999,english,PDF, 5.77 MB
作家之旅  源自神话的写作要义  第3版,"（美）克里斯托弗·沃格勒著,",电子工业出版社,2011,chinese,PDF, 40.19 MB
The Film book : a complete guide to the world of cinema,"Ronald Bergan,",DK Pub,2011,english,PDF, 29.70 MB
Introduction to Japanese Horror Film,"Colette Balmain,",Edinburgh University Press,2009,english,PDF, 1.80 MB
编剧心理学 在剧本中建构冲突,"（美）尹迪克,",,2014,chinese,PDF, 17.40 MB
批判毒草影片集 四十部影片毒在哪里？,"首都大专院校红卫兵代表大会《红卫兵文艺》编辑部,",北京电影学院,1968,chinese,PDF, 12.47 MB
Film Theory: An Introduction,"Robert Stam,",Wiley-Blackwell,2000,english,PDF, 22.11 MB
"Red Carpet: Hollywood, China, and the Global Battle for Cultural Supremacy","Erich Schwartzel,",Penguin Press,2022,english,EPUB, 18.13 MB
Film History: An Introduction (4th edition),"Kristin Thompson, David Bordwell,",McGraw-Hill Education,2019,english,PDF, 41.32 MB
5001 Nights at the Movies,"Pauline Kael,",Henry Holt and Company,1991,english,EPUB, 1.65 MB
新媒体的语言（麻省理工学院出版社认知突围名著，21世纪数字媒体革命奠基之作！读懂这本书的人，将改变未来世界！）,"列夫·马诺维奇 [列夫·马诺维奇],",贵阳：贵州人民出版社,2020,chinese,PDF, 5.34 MB
Historical Dictionary of Horror Cinema,"Peter Hutchings,","The Scarecrow Press, Inc.",2008,english,PDF, 10.35 MB
Queer Images: A History of Gay and Lesbian Film in America,"Harry M. Benshoff,","Rowman & Littlefield Publishers, Inc.",2005,english,PDF, 3.80 MB
മതിലുകള്‍,"Vaikom Muhammad Basheer,",DC Books,2016,malayalam,EPUB, 1.06 MB
看电影，学历史【授人以渔的历史通识课，从《荒野猎人》到《霸王别姬》，透过电影重返现场，囊括史学前沿热点，精选文献名作导读，教你像史家一样思辨】,"蒋竹山 [蒋竹山],",上海人民出版社,2021,chinese,PDF, 33.35 MB
The Filmmaker's Handbook 2013 Edition,"Steven Ascher, Edward Pincus,",Plume,2013,english,EPUB, 9.62 MB
The Dread of Difference: Gender and the Horror Film,"Barry Keith Grant,",University of Texas Press,2015,english,PDF, 20.62 MB
Producer to Producer: A Step-By-Step Guide to Low-Budgets Independent Film Producing,"Ryan, Maureen,",Michael Wiese Productions,2010,english,EPUB, 2.94 MB
A Companion to the Horror Film,"Harry M. Benshoff (ed.),",Wiley-Blackwell,2014,english,PDF, 6.75 MB
Images: My life in Film,"Ingmar Bergman,",Arcade Publishing,2011,english,EPUB, 8.08 MB
1001 Películas que hay que ver antes de morir,"Steven Jay Schneider (Coordinación),",Grijalbo,2016,spanish,PDF, 424.34 MB
Save the Cat! Strikes Back,"Blake Snyder,",Save the Cat Press,2009,english,EPUB, 777 KB
Guillermo del Toro's Cabinet of Curiosities,"Guillermo Del Toro,",HarperCollins,2013,english,EPUB, 39.25 MB
The Films of Ingmar Bergman (Cambridge Film Classics),"Jesse Kalin,",Cambridge University Press,2003,english,PDF, 9.60 MB
Film/Genre,"Rick Altman,",British Film Institute,1999,english,PDF, 73.62 MB
Making Movies,"Sidney Lumet,",Vintage Books,1996,english,MOBI , 897 KB
101 Things I Learned in Film School,"Neil Landau, Matthew Frederick,",Grand Central Publishing,2010,english,EPUB, 3.40 MB
Screenplay: The Foundations of Screenwriting,"Field, Syd,",Delta,2005,english,EPUB, 387 KB
The Monstrous Feminine,"Barbara Creed,",,2007,english,PDF, 3.24 MB
福柯看电影,"帕特里斯·马尼利耶, 道尔·扎班扬,",华东师范大学出版社,2017,chinese,PDF, 32.48 MB
Strange New World: Sex Films of the 1970s,"Jon Abbott,",CreateSpace Independent Publishing Platform,2015,english,EPUB, 46.33 MB
"Seduction: Sex, Lies, and Stardom in Howard Hughes’s Hollywood","Karina Longworth,",Custom House,2018,english,EPUB, 14.25 MB
"Set Lighting Technician's Handbook: Film Lighting Equipment, Practice, and Electrical Distribution","Harry C. Box,",Routledge,2020,english,PDF, 27.96 MB
Dark Dreams 2.0: A Psychological History of the Modern Horror Film from the 1950s to the 21st Century,"Charles Derry,",McFarland,2009,english,PDF, 15.04 MB
The Sensuous Cinema of Wong Kar-wai: Film Poetics and the Aesthetic of Disturbance,"Bettinson, Gary,",Hong Kong University Press,2014,english,PDF, 1.60 MB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
"Rewrite: A Step-by-Step Guide to Strengthen Structure, Characters, and Drama in your Screenplay","Paul Chitlik,",Michael Wiese Productions,2013,english,EPUB, 3.04 MB
Writing the Horror Movie,"Marc Blake, Sara Bailey,",Bloomsbury Academic,2013,english,PDF, 1.26 MB
美国电影美国文化,"[美]约翰·贝尔顿,",四川人民出版社,2018,chinese,PDF, 83.95 MB
Documentary Storytelling: Creative Nonfiction on Screen,"Sheila Curran Bernard,",Focal Press,2010,english,PDF, 5.17 MB
镜城突围：女性·电影·文学 莱曼女性文化书系,"戴锦华,",作家出版社,1995,chinese,PDF, 11.04 MB
The Last Great American Picture Show: New Hollywood Cinema in the 1970s (Amsterdam University Press - Film Culture in Transition),"Thomas Elsaesser, Noel King, Alexander Horwath,",Amsterdam University Press,2004,english,PDF, 7.13 MB
3D Animation for the Raw Beginner Using Autodesk Maya 2e,"Roger King,",CRC Press,2019,english,PDF, 20.60 MB
Sculpting in time : reflections on the cinema,"Andrey Tarkovsky, translated from the Russian by Kitty Hunter-Blair.,",Alfred A. Knopf,1987,english,PDF, 9.88 MB
Narration in the Fiction Film,"David Bordwell,",University of Wisconsin Press,1985,english,PDF, 128.68 MB
吉尔莫・德尔・托罗的奇思妙想,"Pan, Zhijian, Toro, Guillermo del, Zicree, Marc Scott,",Zhongguo Chang’an chu ban she,2015,chinese,PDF, 113.00 MB
The Conversations: Walter Murch and the Art of Editing Film,"Michael Ondaatje,",Knopf,2004,english,EPUB, 16.11 MB
"Easy Riders, Raging Bulls: How the Sex-Drugs-and-Rock 'n' Roll Generation Saved Hollywood","Peter Biskind,",Simon and Schuster,2011,english,EPUB, 2.67 MB
Worlds Turned Upside Down,"Gina Mcintyre,",Del Rey,2018,english,ZIP, 302.52 MB
The Legend of Korra Air (The Art of the Animated),"Michael Dante DiMartino,",Dark Horse Books,2013,english,PDF, 61.83 MB
The Art of Luca,"Disney/Pixar, Pixar,",Chronicle Books,2021,english,PDF, 48.73 MB
"Video Production Handbook, Fourth Edition","Gerald Millerson C.Eng  MIEE  MSMPTE, Jim Owens,",Focal Press,2008,english,PDF, 45.02 MB
The New Biographical Dictionary of Film,"David Thomson,",Knopf,2014,english,EPUB, 4.52 MB
Who the Devil Made It: Conversations with Legendary Film Directors,"Peter Bogdanovich,",Ballantine Books,1998,english,EPUB, 2.31 MB
For Your Eyes Only: Ian Fleming and James Bond,"Macintyre, Ben,",Bloomsbury Publishing,2012,english,EPUB, 3.59 MB
戏剧的故事,"[美]埃德温·威尔森（Edwin Wilson）, 阿尔文·戈德法布（Alvin Goldfarb）,",北京联合出版公司·后浪出版公司,2016,chinese,PDF, 51.90 MB
"The Animator's Survival Kit: A Manual of Methods, Principles and Formulas for Classical, Computer, Games, Stop Motion and Internet Animators","Richard Williams,",Faber & Faber,2009,english,PDF, 34.99 MB
Reinventing Hollywood: How 1940s Filmmakers Changed Movie Storytelling,"David Bordwell,",University of Chicago Press,2017,english,PDF, 3.77 MB
Producing Independent 2D Character Animation: Making & Selling A Short Film (Visual Effects and Animation Series) (Focal Press Visual Effects and Animation),"Mark Simon,",,2003,english,PDF, 36.50 MB
剪辑之道,"[加拿大] 迈克尔·翁达杰,","Beijing United Publishing co., LTD",2015,english,PDF, 61.73 MB
"$30 Film School: How to write, direct, produce, shoot, edit, distribute, tour with, and sell your own no-budget DIGITAL movie","Michael W. Dean,",Course Technology PTR,2003,english,PDF, 15.10 MB
"The art of Star wars, episode III, revenge of the Sith","Rinzler, J. W.,",Del Rey Books,2005,english,PDF, 295.07 MB
The Impossible David Lynch (Film and Culture Series),"Todd McGowan,",Columbia University Press,2007,english,PDF, 21.34 MB
"The Art of Cinematic Storytelling: A Visual Guide to Planning Shots, Cuts, and Transitions","Kelly Gordon Brine,",Oxford University Press,2020,english,PDF, 90.81 MB
"The Art and Science of Digital Compositing, Second Edition: Techniques for Visual Effects, Animation and Motion Graphics (The Morgan Kaufmann Series in Computer Graphics)","Ron Brinkmann,",Morgan Kaufmann,2008,english,PDF, 56.03 MB
Blade Runner Sketchbook  ,"David Scroggy,",Blue Dolphin Enterprises,1982,english,PDF, 39.88 MB
The Rough Guide to Cult Movies,"Paul Simpson, Samantha Cook, Larushka Ivan-Zadeh, David Parkinson, Jason Wood, (Contributors),",Rough Guides,2010,english,PDF, 12.54 MB
Science Fiction Cinema: Between Fantasy and Reality,"Christine Cornea,",Rutgers University Press,2007,english,PDF, 1.18 MB
On Film Editing  ,"EDWARD DMYTRYK,",Focal Press,1984,english,PDF, 4.18 MB
香港电影的文化历程1958-2007,"许乐,",中国电影出版社,2013,chinese,PDF, 71.26 MB
The Rough Guide to Sci-Fi Movies 1,"John Scalzi,",Rough Guides,2005,english,PDF, 19.79 MB
Storyboarding: A Critical History,"Chris Pallant, Steven Price,",Palgrave Macmillan,2015,english,PDF, 2.58 MB
中国电影史,"李少白,",高等教育出版社,2006,chinese,PDF, 94.15 MB
The Pleasure and Pain of Cult Horror Films: An Historical Survey,"Bartlomiej Paszylk,",McFarland,2009,english,PDF, 2.80 MB
French Cinema: A Student's Guide,"Phil Powrie, Keith Reader,",Bloomsbury USA,2002,english,PDF, 10.82 MB
The Encyclopedia Of Hollywood,"Scott Siegel, Barbara Siegel, Thomas L. Erskine, James Michael Welsh,",,2004,english,PDF, 8.36 MB
"The XXX Filmography, 1968-1988","Jason S. Martinko,",McFarland,2013,english,PDF, 6.03 MB
The Complete Yes Minister,"Jonathan Lynn, Antony Jay,",,2020,english,PDF, 8.92 MB
A arte do cinema: uma introdução,"David Bordwell, Kristin Thompson,",EdUSP,2014,portuguese,PDF, 117.72 MB
春光乍泄：百部同志电影全记录,"范坡坡,",北方文艺出版社,2007,chinese,PDF, 15.79 MB
Metodologie di analisi del film,"Paolo Bertetto (a cura di),",Laterza,2014,italian,EPUB, 2.71 MB
On Directing film,"David Mamet,",Viking Adult,1991,english,EPUB, 241 KB
导演创作完全手册（插图修订第5版）,"迈克尔·拉毕格, 米克·胡尔比什-切里耶尔,",北京联合出版公司·后浪出版公司,2016,chinese,PDF, 115.60 MB
The Art of Watching Films,"Dennis W. Petrie, Joseph M. Boggs,",McGraw-Hill Education,2018,english,PDF, 107.23 MB
红色往事:1966-1976的中国电影,"翟建农,",台海出版社,2001,chinese,PDF, 9.88 MB
Guida alla storia del cinema italiano,"Gian Piero Brunetta,",Giulio Einaudi Editore,2016,italian,EPUB, 625 KB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
"The Age of Netflix : Critical Essays on Streaming Media, Digital Delivery and Instant Access","Cory Barker, Myc Wiatrowski [eds.],",McFarland,2017,english,EPUB, 795 KB
